"city_id","county_id","city_name","rgs_id","rg_name","large_area","county","old_large_area","old_lgarea_group"
54,35,"Poulsbo",3,"HCT","North Kitsap","Kitsap","North Kitsap","Central, North, and South Kitsap"
55,35,"Uninc Urban Kitsap",1,"Metro","Central Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
56,35,"Uninc Urban Kitsap",2,"Core","Central Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
57,35,"Uninc Urban Kitsap",3,"HCT","North Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
58,35,"Uninc Urban Kitsap",5,"UU","Central Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
59,53,"Auburn",2,"Core","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
60,53,"Bonney Lake",6,"Rural","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
61,53,"Bonney Lake",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
62,53,"Buckley",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
63,53,"Carbonado",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
64,53,"DuPont",3,"HCT","SW Pierce","Pierce","SW Pierce","SW Pierce"
65,53,"Eatonville",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
66,53,"Edgewood",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
67,53,"Enumclaw",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
68,53,"Fife",3,"HCT","Tacoma","Pierce","Tacoma","Peninsula and Tacoma"
69,53,"Fircrest",3,"HCT","SW Pierce","Pierce","SW Pierce","SW Pierce"
70,53,"Gig Harbor",4,"CitiesTowns","Peninsula","Pierce","Peninsula","Peninsula and Tacoma"
71,53,"Lakewood",2,"Core","SW Pierce","Pierce","SW Pierce","SW Pierce"
72,53,"Milton",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
73,53,"Orting",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
74,53,"Pacific",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
75,53,"Pierce Rural",6,"Rural","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
76,53,"Puyallup",2,"Core","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
77,53,"Roy",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
78,53,"Ruston",4,"CitiesTowns","Tacoma","Pierce","Tacoma","Peninsula and Tacoma"
79,53,"South Prairie",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
80,53,"Steilacoom",4,"CitiesTowns","SW Pierce","Pierce","SW Pierce","SW Pierce"
81,53,"Sumner",3,"HCT","Pierce Other","Pierce","Pierce Other","Pierce Other (1)"
82,53,"Tacoma",1,"Metro","Tacoma","Pierce","Tacoma","Peninsula and Tacoma"
83,53,"Uninc Urban Pierce",3,"HCT","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
84,53,"Uninc Urban Pierce",5,"UU","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
85,53,"University Place",2,"Core","SW Pierce","Pierce","SW Pierce","SW Pierce"
86,53,"Wilkeson",4,"CitiesTowns","Pierce Other","Pierce","Pierce Other","Pierce Other (2)"
87,61,"Arlington",6,"Rural","Everett","Snohomish","Everett","Everett"
88,61,"Arlington",3,"HCT","Everett","Snohomish","Everett","Everett"
89,61,"Bothell",2,"Core","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (2)"
90,61,"Brier",4,"CitiesTowns","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (2)"
91,61,"Darrington",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
92,61,"Edmonds",3,"HCT","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (1)"
93,61,"Everett",6,"Rural","Snohomish Other","Snohomish","Everett","Everett"
94,61,"Everett",1,"Metro","Everett","Snohomish","Everett","Everett"
95,61,"Gold Bar",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
96,61,"Granite Falls",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
97,61,"Index",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
98,61,"Lake Stevens",4,"CitiesTowns","Everett","Snohomish","Everett","Everett"
99,61,"Lynnwood",2,"Core","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (1)"
100,61,"Marysville",6,"Rural","NW Snohomish","Snohomish","Everett","Everett"
101,61,"Marysville",3,"HCT","Everett","Snohomish","Everett","Everett"
102,61,"Mill Creek",3,"HCT","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (2)"
103,61,"Monroe",6,"Rural","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
104,61,"Monroe",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
105,61,"Mountlake Terrace",3,"HCT","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (1)"
106,61,"Mukilteo",3,"HCT","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (1)"
107,61,"Snohomish",6,"Rural","Snohomish Other","Snohomish","Everett","Everett"
108,61,"Snohomish",4,"CitiesTowns","Everett","Snohomish","Everett","Everett"
109,61,"Snohomish Rural",6,"Rural","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
110,61,"Stanwood",6,"Rural","NW Snohomish","Snohomish","NW Snohomish","NW Snohomish"
111,61,"Stanwood",4,"CitiesTowns","NW Snohomish","Snohomish","NW Snohomish","NW Snohomish"
112,61,"Sultan",4,"CitiesTowns","Snohomish Other","Snohomish","Snohomish Other","Snohomish Other"
113,61,"Uninc Urban Snohomish",3,"HCT","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (2)"
114,61,"Uninc Urban Snohomish",5,"UU","Everett","Snohomish","Everett","Everett"
115,61,"Woodway",4,"CitiesTowns","SW Snohomish","Snohomish","SW Snohomish","SW Snohomish (1)"
