"city_id","county_id","city_name","rgs_id","rg_name","large_area","county","old_large_area","old_lgarea_group"
116,33,"Algona",4,"CitiesTowns","Green River","King","Green River","Green River"
1,33,"Auburn",2,"Core","Green River","King","SW King","SW King"
2,33,"Beaux Arts",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (2)"
3,33,"Bellevue",1,"Metro","Eastside King","King","Eastside King","Eastside King (2)"
4,33,"Black Diamond",6,"Rural","King Other","King","SE King","SE King and King Other"
5,33,"Black Diamond",4,"CitiesTowns","SE King","King","SE King","SE King and King Other"
6,33,"Bothell",2,"Core","Eastside King","King","Eastside King","Eastside King (1)"
7,33,"Burien",2,"Core","SW King","King","SW King","SW King"
8,33,"Carnation",6,"Rural","King Other","King","King Other","SE King and King Other"
9,33,"Carnation",4,"CitiesTowns","King Other","King","King Other","SE King and King Other"
10,33,"Clyde Hill",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (1)"
11,33,"Covington",4,"CitiesTowns","SE King","King","SE King","SE King and King Other"
12,33,"Des Moines",3,"HCT","SW King","King","SW King","SW King"
13,33,"Duvall",4,"CitiesTowns","King Other","King","King Other","SE King and King Other"
14,33,"Enumclaw",6,"Rural","SE King","King","SE King","SE King and King Other"
15,33,"Enumclaw",4,"CitiesTowns","SE King","King","SE King","SE King and King Other"
16,33,"Federal Way",2,"Core","SW King","King","SW King","SW King"
17,33,"Hunts Point",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (1)"
18,33,"Issaquah",2,"Core","Eastside King","King","Eastside King","Eastside King (2)"
19,33,"Kenmore",3,"HCT","Eastside King","King","Eastside King","Eastside King (1)"
20,33,"Kent",6,"Rural","SE King","King","Green River","Green River"
21,33,"Kent",2,"Core","Green River","King","Green River","Green River"
22,33,"King Rural",6,"Rural","King Other","King","King Other","SE King and King Other"
23,33,"Kirkland",2,"Core","Eastside King","King","Eastside King","Eastside King (1)"
24,33,"Lake Forest Park",3,"HCT","Shoreline","King","Shoreline","Seattle and Shoreline"
25,33,"Maple Valley",4,"CitiesTowns","SE King","King","SE King","SE King and King Other"
26,33,"Medina",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (1)"
27,33,"Mercer Island",3,"HCT","Eastside King","King","Eastside King","Eastside King (2)"
28,33,"Milton",4,"CitiesTowns","SW King","King","SW King","SW King"
29,33,"Newcastle",3,"HCT","Eastside King","King","Eastside King","Eastside King (2)"
30,33,"Normandy Park",4,"CitiesTowns","SW King","King","SW King","SW King"
31,33,"North Bend",4,"CitiesTowns","King Other","King","King Other","SE King and King Other"
32,33,"Pacific",4,"CitiesTowns","Green River","King","Green River","Green River"
33,33,"Redmond",6,"Rural","Eastside King","King","Eastside King","Eastside King (1)"
34,33,"Redmond",2,"Core","Eastside King","King","Eastside King","Eastside King (1)"
35,33,"Renton",2,"Core","Green River","King","Green River","Green River"
36,33,"Sammamish",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (2)"
37,33,"SeaTac",2,"Core","SW King","King","SW King","SW King"
38,33,"Seattle",1,"Metro","Seattle","King","Seattle","Seattle and Shoreline"
39,33,"Shoreline",3,"HCT","Shoreline","King","Shoreline","Seattle and Shoreline"
40,33,"Skykomish",4,"CitiesTowns","King Other","King","King Other","SE King and King Other"
41,33,"Snoqualmie",6,"Rural","King Other","King","King Other","SE King and King Other"
42,33,"Snoqualmie",4,"CitiesTowns","King Other","King","King Other","SE King and King Other"
43,33,"Tukwila",2,"Core","Green River","King","Green River","Green River"
44,33,"Uninc Urban King",3,"HCT","Green River","King","SW King","SW King"
45,33,"Uninc Urban King",5,"UU","Eastside King","King","SW King","SW King"
46,33,"Woodinville",3,"HCT","Eastside King","King","Eastside King","Eastside King (1)"
47,33,"Yarrow Point",4,"CitiesTowns","Eastside King","King","Eastside King","Eastside King (1)"
48,35,"Bainbridge Island",3,"HCT","North Kitsap","Kitsap","North Kitsap","Central, North, and South Kitsap"
49,35,"Bremerton",1,"Metro","Central Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
50,35,"Bremerton UGA",1,"Metro","Central Kitsap","Kitsap","Central Kitsap","Central, North, and South Kitsap"
51,35,"Kitsap Rural",6,"Rural","Central Kitsap","Kitsap","North Kitsap","Central, North, and South Kitsap"
52,35,"Port Orchard",6,"Rural","South Kitsap","Kitsap","South Kitsap","Central, North, and South Kitsap"
53,35,"Port Orchard",3,"HCT","South Kitsap","Kitsap","South Kitsap","Central, North, and South Kitsap"
