county_id,control_hct_id,"control_hct_name","lgarea_group"
61,138,"Mill Creek","SW Snohomish"
61,139,"Mill Creek MUGA","SW Snohomish"
61,140,"Mountlake Terrace","SW Snohomish"
61,141,"Mukilteo","SW Snohomish"
61,142,"Mukilteo MUGA","SW Snohomish"
61,143,"Brier","SW Snohomish"
61,144,"Darrington","Snohomish Other"
61,145,"Gold Bar","Snohomish Other"
61,146,"Granite Falls","Snohomish Other"
61,147,"Index","Snohomish Other"
61,148,"Lake Stevens","Everett"
61,149,"Monroe","Snohomish Other"
61,150,"Snohomish","Everett"
61,151,"Stanwood","NW Snohomish"
61,152,"Sultan","Snohomish Other"
61,153,"Woodway","SW Snohomish"
61,155,"Arlington UGA","Everett"
61,156,"Brier MUGA","SW Snohomish"
61,157,"Darrington UGA","Snohomish Other"
61,158,"Gold Bar UGA","Snohomish Other"
61,159,"Granite Falls UGA","Snohomish Other"
61,161,"Lake Stevens UGA","Everett"
61,162,"Lake Stickney Gap","SW Snohomish"
61,163,"Maltby UGA","SW Snohomish"
61,164,"Marysville UGA","NW Snohomish"
61,166,"Monroe UGA","Snohomish Other"
61,167,"Mountlake Terrace MUGA","SW Snohomish"
61,168,"Paine Field Area","Everett"
61,169,"Silver Firs Gap","SW Snohomish"
61,170,"Snohomish UGA","Everett"
61,172,"Stanwood UGA","NW Snohomish"
61,174,"Sultan UGA","Snohomish Other"
61,175,"Woodway MUGA","SW Snohomish"
61,176,"Snohomish Rural","Snohomish Other"
61,210,"Tulalip Tribe","NW Snohomish"
61,304,"Snohomish Rural Ag and Resource","Snohomish Other"
61,404,"Naval Station Everett","Everett"
61,1125,"Everett HCT","Everett"
61,1126,"Bothell HCT","SW Snohomish"
61,1127,"Lynnwood HCT","SW Snohomish"
61,1128,"Arlington HCT","Everett"
61,1129,"Bothell MUGA HCT","SW Snohomish"
61,1130,"Edmonds HCT","SW Snohomish"
61,1131,"Edmonds MUGA HCT","SW Snohomish"
61,1132,"Everett MUGA HCT","Everett"
61,1133,"Larch Way Overlap HCT","SW Snohomish"
61,1135,"Lynnwood MUGA HCT","SW Snohomish"
61,1136,"Marysville HCT","Everett"
61,1138,"Mill Creek HCT","SW Snohomish"
61,1139,"Mill Creek MUGA HCT","SW Snohomish"
61,1140,"Mountlake Terrace HCT","SW Snohomish"
61,1141,"Mukilteo HCT","Everett"
61,1142,"Mukilteo MUGA HCT","Everett"
