"county_id","control_name","control_id","county","large_area","large_area_group","lgarea_group"
35,"Bremerton UGA",67,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"Central Kitsap UGA",75,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"Kingston UGA",70,"Kitsap","North Kitsap","North Kitsap","Central, North, and South Kitsap"
35,"Kitsap Rural",76,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"Kitsap Rural Ag & Resource",302,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"NBK - Bangor",402,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"NBK - Bremerton",401,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
35,"Port Orchard",71,"Kitsap","South Kitsap","South Kitsap","Central, North, and South Kitsap"
35,"Port Orchard UGA",72,"Kitsap","South Kitsap","South Kitsap","Central, North, and South Kitsap"
35,"Poulsbo",73,"Kitsap","North Kitsap","North Kitsap","Central, North, and South Kitsap"
35,"Poulsbo PUTA",74,"Kitsap","North Kitsap","North Kitsap","Central, North, and South Kitsap"
35,"Silverdale",68,"Kitsap","Central Kitsap","Central Kitsap","Central, North, and South Kitsap"
53,"Auburn",78,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Bonney Lake",87,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Buckley",88,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Carbonado",89,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"DuPont",82,"Pierce","SW Pierce","SW Pierce","SW Pierce"
53,"Eatonville",90,"Pierce","Pierce Other","Pierce Other (2)","Pierce Other (2)"
53,"Edgewood",91,"Pierce","Pierce Other","Pierce Other (1)","Pierce Other (1)"
53,"Fife",83,"Pierce","Tacoma","Tacoma","Peninsula and Tacoma"
