income_max,income_min,persons_max,persons_min,subreg_id,total_number_of_households,workers_max,workers_min,year
49999.0,0.0,1.0,1,-1.0,151570.0,0.0,0.0,2018.0
74999.0,50000.0,1.0,1,-1.0,18867.0,0.0,0.0,2018.0
99999.0,75000.0,1.0,1,-1.0,7446.0,0.0,0.0,2018.0
-1.0,100000.0,1.0,1,-1.0,10192.0,0.0,0.0,2018.0
49999.0,0.0,1.0,1,-1.0,102013.0,1.0,1.0,2018.0
74999.0,50000.0,1.0,1,-1.0,63051.0,1.0,1.0,2018.0
99999.0,75000.0,1.0,1,-1.0,38187.0,1.0,1.0,2018.0
-1.0,100000.0,1.0,1,-1.0,60837.0,1.0,1.0,2018.0
49999.0,0.0,1.0,1,-1.0,0.0,2.0,2.0,2018.0
74999.0,50000.0,1.0,1,-1.0,0.0,2.0,2.0,2018.0
99999.0,75000.0,1.0,1,-1.0,0.0,2.0,2.0,2018.0
-1.0,100000.0,1.0,1,-1.0,0.0,2.0,2.0,2018.0
49999.0,0.0,1.0,1,-1.0,0.0,3.0,3.0,2018.0
74999.0,50000.0,1.0,1,-1.0,0.0,3.0,3.0,2018.0
99999.0,75000.0,1.0,1,-1.0,0.0,3.0,3.0,2018.0
-1.0,100000.0,1.0,1,-1.0,0.0,3.0,3.0,2018.0
49999.0,0.0,1.0,1,-1.0,0.0,-1.0,4.0,2018.0
74999.0,50000.0,1.0,1,-1.0,0.0,-1.0,4.0,2018.0
99999.0,75000.0,1.0,1,-1.0,0.0,-1.0,4.0,2018.0
-1.0,100000.0,1.0,1,-1.0,0.0,-1.0,4.0,2018.0
49999.0,0.0,2.0,2,-1.0,56520.0,0.0,0.0,2018.0
74999.0,50000.0,2.0,2,-1.0,29976.0,0.0,0.0,2018.0
99999.0,75000.0,2.0,2,-1.0,18857.0,0.0,0.0,2018.0
-1.0,100000.0,2.0,2,-1.0,30488.0,0.0,0.0,2018.0
49999.0,0.0,2.0,2,-1.0,41875.0,1.0,1.0,2018.0
74999.0,50000.0,2.0,2,-1.0,33654.0,1.0,1.0,2018.0
99999.0,75000.0,2.0,2,-1.0,26288.0,1.0,1.0,2018.0
-1.0,100000.0,2.0,2,-1.0,75954.0,1.0,1.0,2018.0
49999.0,0.0,2.0,2,-1.0,17304.0,2.0,2.0,2018.0
74999.0,50000.0,2.0,2,-1.0,28708.0,2.0,2.0,2018.0
99999.0,75000.0,2.0,2,-1.0,34813.0,2.0,2.0,2018.0
-1.0,100000.0,2.0,2,-1.0,139245.0,2.0,2.0,2018.0
49999.0,0.0,2.0,2,-1.0,0.0,3.0,3.0,2018.0
74999.0,50000.0,2.0,2,-1.0,0.0,3.0,3.0,2018.0
99999.0,75000.0,2.0,2,-1.0,0.0,3.0,3.0,2018.0
-1.0,100000.0,2.0,2,-1.0,0.0,3.0,3.0,2018.0
49999.0,0.0,2.0,2,-1.0,0.0,-1.0,4.0,2018.0
74999.0,50000.0,2.0,2,-1.0,0.0,-1.0,4.0,2018.0
99999.0,75000.0,2.0,2,-1.0,0.0,-1.0,4.0,2018.0
-1.0,100000.0,2.0,2,-1.0,0.0,-1.0,4.0,2018.0
49999.0,0.0,3.0,3,-1.0,9833.0,0.0,0.0,2018.0
74999.0,50000.0,3.0,3,-1.0,2708.0,0.0,0.0,2018.0
99999.0,75000.0,3.0,3,-1.0,1439.0,0.0,0.0,2018.0
-1.0,100000.0,3.0,3,-1.0,2617.0,0.0,0.0,2018.0
49999.0,0.0,3.0,3,-1.0,21628.0,1.0,1.0,2018.0
74999.0,50000.0,3.0,3,-1.0,17108.0,1.0,1.0,2018.0
99999.0,75000.0,3.0,3,-1.0,11144.0,1.0,1.0,2018.0
-1.0,100000.0,3.0,3,-1.0,34012.0,1.0,1.0,2018.0
49999.0,0.0,3.0,3,-1.0,7433.0,2.0,2.0,2018.0
74999.0,50000.0,3.0,3,-1.0,13257.0,2.0,2.0,2018.0
99999.0,75000.0,3.0,3,-1.0,16283.0,2.0,2.0,2018.0
-1.0,100000.0,3.0,3,-1.0,72138.0,2.0,2.0,2018.0
49999.0,0.0,3.0,3,-1.0,1520.0,3.0,3.0,2018.0
74999.0,50000.0,3.0,3,-1.0,4793.0,3.0,3.0,2018.0
99999.0,75000.0,3.0,3,-1.0,6291.0,3.0,3.0,2018.0
-1.0,100000.0,3.0,3,-1.0,32132.0,3.0,3.0,2018.0
49999.0,0.0,3.0,3,-1.0,0.0,-1.0,4.0,2018.0
74999.0,50000.0,3.0,3,-1.0,0.0,-1.0,4.0,2018.0
99999.0,75000.0,3.0,3,-1.0,0.0,-1.0,4.0,2018.0
