control_id,control_na,county_id,county,large_area,large_area_group,lgarea_group
65,Bremerton,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
67,Bremerton UGA,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
68,Silverdale,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
75,Central Kitsap UGA,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
76,Kitsap Rural,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
302,Kitsap Rural Ag & Resource,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
401,NBK - Bremerton,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
402,NBK - Bangor,35,Kitsap,Central Kitsap,Central Kitsap,"Central, North, and South Kitsap"
1,Bellevue,33,King,Eastside King,Eastside King (2),Eastside King (2)
4,Bothell,33,King,Eastside King,Eastside King (1),Eastside King (1)
7,Issaquah,33,King,Eastside King,Eastside King (2),Eastside King (2)
9,Kirkland,33,King,Eastside King,Eastside King (1),Eastside King (1)
10,Redmond,33,King,Eastside King,Eastside King (1),Eastside King (1)
16,Kenmore,33,King,Eastside King,Eastside King (1),Eastside King (1)
18,Mercer Island,33,King,Eastside King,Eastside King (2),Eastside King (2)
19,Newcastle,33,King,Eastside King,Eastside King (2),Eastside King (2)
26,Woodinville,33,King,Eastside King,Eastside King (1),Eastside King (1)
28,Beaux Arts,33,King,Eastside King,Eastside King (2),Eastside King (2)
31,Clyde Hill,33,King,Eastside King,Eastside King (1),Eastside King (1)
35,Hunts Point,33,King,Eastside King,Eastside King (1),Eastside King (1)
37,Medina,33,King,Eastside King,Eastside King (1),Eastside King (1)
42,Sammamish,33,King,Eastside King,Eastside King (2),Eastside King (2)
45,Yarrow Point,33,King,Eastside King,Eastside King (1),Eastside King (1)
48,Bellevue PAA,33,King,Eastside King,Eastside King (2),Eastside King (2)
51,Issaquah PAA,33,King,Eastside King,Eastside King (2),Eastside King (2)
53,King UGA,33,King,Eastside King,Eastside King (2),Eastside King (2)
57,Newcastle PAA,33,King,Eastside King,Eastside King (2),Eastside King (2)
60,Redmond PAA,33,King,Eastside King,Eastside King (1),Eastside King (1)
61,Sammamish PAA,33,King,Eastside King,Eastside King (2),Eastside King (2)
64,King Rural,33,King,Eastside King,Eastside King (1),Eastside King (1)
201,King no growth UGA Bear Creek UPD,33,King,Eastside King,Eastside King (1),Eastside King (1)
125,Everett,61,Snohomish,Everett,Everett,Everett
128,Arlington,61,Snohomish,Everett,Everett,Everett
136,Marysville,61,Snohomish,Everett,Everett,Everett
148,Lake Stevens,61,Snohomish,Everett,Everett,Everett
150,Snohomish,61,Snohomish,Everett,Everett,Everett
155,Arlington UGA,61,Snohomish,Everett,Everett,Everett
161,Lake Stevens UGA,61,Snohomish,Everett,Everett,Everett
168,Paine Field Area,61,Snohomish,Everett,Everett,Everett
170,Snohomish UGA,61,Snohomish,Everett,Everett,Everett
404,Naval Station Everett,61,Snohomish,Everett,Everett,Everett
8,Kent,33,King,Green River,Green River,Green River
11,Renton,33,King,Green River,Green River,Green River
13,Tukwila,33,King,Green River,Green River,Green River
24,Renton PAA - West Hill,33,King,Green River,Green River,Green River
27,Algona,33,King,Green River,Green River,Green River
41,Pacific,33,King,Green River,Green River,Green River
46,Auburn PAA,33,King,Green River,Green River,Green River
52,Kent PAA,33,King,Green River,Green River,Green River
209,King no growth UGA Tukwila PAA,33,King,Green River,Green River,Green River
30,Carnation,33,King,King Other,King Other,SE King and King Other
33,Duvall,33,King,King Other,King Other,SE King and King Other
40,North Bend,33,King,King Other,King Other,SE King and King Other
43,Skykomish,33,King,King Other,King Other,SE King and King Other
44,Snoqualmie,33,King,King Other,King Other,SE King and King Other
202,Carnation UGA,33,King,King Other,King Other,SE King and King Other
204,Duvall UGA,33,King,King Other,King Other,SE King and King Other
207,North Bend UGA,33,King,King Other,King Other,SE King and King Other
208,Snoqualmie UGA,33,King,King Other,King Other,SE King and King Other
301,King Rural Ag & Resource,33,King,King Other,King Other,SE King and King Other
151,Stanwood,61,Snohomish,NW Snohomish,NW Snohomish,NW Snohomish
164,Marysville UGA,61,Snohomish,NW Snohomish,NW Snohomish,NW Snohomish
172,Stanwood UGA,61,Snohomish,NW Snohomish,NW Snohomish,NW Snohomish
210,Tulalip Tribe,61,Snohomish,NW Snohomish,NW Snohomish,NW Snohomish
69,Bainbridge Island,35,Kitsap,North Kitsap,North Kitsap,"Central, North, and South Kitsap"
70,Kingston UGA,35,Kitsap,North Kitsap,North Kitsap,"Central, North, and South Kitsap"
73,Poulsbo,35,Kitsap,North Kitsap,North Kitsap,"Central, North, and South Kitsap"
74,Poulsbo PUTA,35,Kitsap,North Kitsap,North Kitsap,"Central, North, and South Kitsap"
92,Gig Harbor,53,Pierce,Peninsula,Peninsula,Peninsula and Tacoma
78,Auburn,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
80,Puyallup,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
85,"Mid-County, Parkland-Spanaway-Midland, South Hill",53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
86,Sumner,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
87,Bonney Lake,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
88,Buckley,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
89,Carbonado,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
90,Eatonville,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
91,Edgewood,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
93,Milton,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
94,Orting,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
95,Pacific,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
96,Roy,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
98,South Prairie,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
100,Wilkeson,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
107,Pierce UGA,53,Pierce,Pierce Other,Pierce Other (1),Pierce Other (1)
124,Pierce Rural,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
303,Pierce Rural Ag & Resource,53,Pierce,Pierce Other,Pierce Other (2),Pierce Other (2)
22,Renton PAA - East Renton,33,King,SE King,SE King,SE King and King Other
23,Renton PAA - Fairwood,33,King,SE King,SE King,SE King and King Other
29,Black Diamond,33,King,SE King,SE King,SE King and King Other
32,Covington,33,King,SE King,SE King,SE King and King Other
34,Enumclaw,33,King,SE King,SE King,SE King and King Other
36,Maple Valley,33,King,SE King,SE King,SE King and King Other
49,Black Diamond PAA,33,King,SE King,SE King,SE King and King Other
203,Covington PAA,33,King,SE King,SE King,SE King and King Other
205,Enumclaw UGA,33,King,SE King,SE King,SE King and King Other
3,Auburn,33,King,SW King,SW King,SW King
5,Burien,33,King,SW King,SW King,SW King
6,Federal Way,33,King,SW King,SW King,SW King
12,SeaTac,33,King,SW King,SW King,SW King
14,Des Moines,33,King,SW King,SW King,SW King
15,Federal Way PAA,33,King,SW King,SW King,SW King
20,North Highline,33,King,SW King,SW King,SW King
38,Milton,33,King,SW King,SW King,SW King
39,Normandy Park,33,King,SW King,SW King,SW King
58,Pacific PAA,33,King,SW King,SW King,SW King
206,King no growth UGA Milton PAA,33,King,SW King,SW King,SW King
79,Lakewood,53,Pierce,SW Pierce,SW Pierce,SW Pierce
81,University Place,53,Pierce,SW Pierce,SW Pierce,SW Pierce
82,DuPont,53,Pierce,SW Pierce,SW Pierce,SW Pierce
84,Fircrest,53,Pierce,SW Pierce,SW Pierce,SW Pierce
99,Steilacoom,53,Pierce,SW Pierce,SW Pierce,SW Pierce
403,JBLM,53,Pierce,SW Pierce,SW Pierce,SW Pierce
126,Bothell,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
127,Lynnwood,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
129,Bothell MUGA,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
130,Edmonds,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
131,Edmonds MUGA,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
132,Everett MUGA,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
133,Larch Way Overlap,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
135,Lynnwood MUGA,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
138,Mill Creek,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
139,Mill Creek MUGA,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
140,Mountlake Terrace,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
141,Mukilteo,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
142,Mukilteo MUGA,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
143,Brier,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
153,Woodway,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
156,Brier MUGA,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
162,Lake Stickney Gap,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
163,Maltby UGA,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
167,Mountlake Terrace MUGA,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
169,Silver Firs Gap,61,Snohomish,SW Snohomish,SW Snohomish (2),SW Snohomish (2)
175,Woodway MUGA,61,Snohomish,SW Snohomish,SW Snohomish (1),SW Snohomish (1)
2,Seattle,33,King,Seattle,Seattle,Seattle and Shoreline
17,Lake Forest Park,33,King,Shoreline,Shoreline,Seattle and Shoreline
25,Shoreline,33,King,Shoreline,Shoreline,Seattle and Shoreline
144,Darrington,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
145,Gold Bar,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
146,Granite Falls,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
147,Index,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
149,Monroe,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
152,Sultan,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
157,Darrington UGA,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
158,Gold Bar UGA,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
159,Granite Falls UGA,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
166,Monroe UGA,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
174,Sultan UGA,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
176,Snohomish Rural,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
304,Snohomish Rural Ag & Resource,61,Snohomish,Snohomish Other,Snohomish Other,Snohomish Other
71,Port Orchard,35,Kitsap,South Kitsap,South Kitsap,"Central, North, and South Kitsap"
72,Port Orchard UGA,35,Kitsap,South Kitsap,South Kitsap,"Central, North, and South Kitsap"
77,Tacoma,53,Pierce,Tacoma,Tacoma,Peninsula and Tacoma
83,Fife,53,Pierce,Tacoma,Tacoma,Peninsula and Tacoma
97,Ruston,53,Pierce,Tacoma,Tacoma,Peninsula and Tacoma
